,game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,outcome,venue,win_loss,streak
0,1,20102011,R,2010-10-07,12,30,4,3,away win REG,Hartwall Areena,l,-1
9,10,20102011,R,2010-10-08,30,12,1,2,home win SO,Hartwall Areena,l,-2
50,51,20102011,R,2010-10-15,22,30,2,4,home win REG,Xcel Energy Center,w,1
65,66,20102011,R,2010-10-17,29,30,3,2,away win REG,Xcel Energy Center,l,-1
75,76,20102011,R,2010-10-20,23,30,2,6,home win REG,Xcel Energy Center,w,1
91,92,20102011,R,2010-10-22,30,22,4,2,away win REG,Rexall Place,w,2
103,104,20102011,R,2010-10-23,30,23,1,5,home win REG,Rogers Arena,l,-1
117,118,20102011,R,2010-10-26,26,30,3,2,away win SO,Xcel Energy Center,l,-2
138,139,20102011,R,2010-10-29,15,30,1,2,home win REG,Xcel Energy Center,w,1
155,156,20102011,R,2010-10-31,16,30,3,1,away win REG,Xcel Energy Center,l,-1
166,167,20102011,R,2010-11-03,28,30,0,1,home win REG,Xcel Energy Center,w,1
188,189,20102011,R,2010-11-06,20,30,1,2,home win REG,Xcel Energy Center,w,2
191,192,20102011,R,2010-11-06,30,29,3,2,away win REG,Nationwide Arena,w,3
224,225,20102011,R,2010-11-12,30,11,1,5,home win REG,Philips Arena,l,-1
230,231,20102011,R,2010-11-13,30,13,1,2,home win REG,BankAtlantic Center,l,-2
232,233,20102011,R,2010-11-14,30,14,4,1,away win REG,St. Pete Times Forum,w,1
266,267,20102011,R,2010-11-18,24,30,1,2,home win OT,Xcel Energy Center,w,2
278,279,20102011,R,2010-11-20,30,17,4,3,away win OT,Joe Louis Arena,w,3
283,284,20102011,R,2010-11-21,3,30,5,2,away win REG,Xcel Energy Center,l,-1
310,311,20102011,R,2010-11-25,4,30,6,1,away win REG,Xcel Energy Center,l,-2
325,326,20102011,R,2010-11-26,18,30,2,5,home win REG,Xcel Energy Center,w,1
340,341,20102011,R,2010-11-28,30,21,4,7,home win REG,Pepsi Center,l,-1
350,351,20102011,R,2010-11-30,30,20,0,3,home win REG,Scotiabank Saddledome,l,-2
361,362,20102011,R,2010-12-02,27,30,4,2,away win REG,Xcel Energy Center,l,-3
376,377,20102011,R,2010-12-04,20,30,3,2,away win SO,Xcel Energy Center,l,-4
385,386,20102011,R,2010-12-05,30,25,3,4,home win OT,American Airlines Center,l,-5
412,413,20102011,R,2010-12-10,30,27,3,2,away win REG,Jobing.com Arena,w,1
428,429,20102011,R,2010-12-12,30,26,3,2,away win OT,Staples Center,w,2
439,440,20102011,R,2010-12-13,30,24,2,6,home win REG,Honda Center,l,-1
467,468,20102011,R,2010-12-17,9,30,3,1,away win REG,Xcel Energy Center,l,-2
480,481,20102011,R,2010-12-19,30,20,3,1,away win REG,Scotiabank Saddledome,w,1
488,489,20102011,R,2010-12-21,20,30,1,4,home win REG,Xcel Energy Center,w,2
515,516,20102011,R,2010-12-24,30,21,3,1,away win REG,Pepsi Center,w,3
519,520,20102011,R,2010-12-27,17,30,4,1,away win REG,Xcel Energy Center,l,-1
534,535,20102011,R,2010-12-28,30,29,3,4,home win SO,Nationwide Arena,l,-2
544,545,20102011,R,2010-12-30,28,30,3,5,home win REG,Xcel Energy Center,w,1
558,559,20102011,R,2010-12-31,18,30,4,1,away win REG,Xcel Energy Center,l,-1
574,575,20102011,R,2011-01-02,27,30,5,6,home win OT,Xcel Energy Center,w,1
587,588,20102011,R,2011-01-05,30,1,2,1,away win REG,Prudential Center,w,2
602,603,20102011,R,2011-01-07,30,6,3,1,away win REG,TD Garden,w,3
619,620,20102011,R,2011-01-09,30,5,4,0,away win REG,CONSOL Energy Center,w,4
620,621,20102011,R,2011-01-09,25,30,4,0,away win REG,Xcel Energy Center,l,-1
634,635,20102011,R,2011-01-12,30,18,1,5,home win REG,Bridgestone Arena,l,-2
657,658,20102011,R,2011-01-15,21,30,4,1,away win REG,Xcel Energy Center,l,-3
660,661,20102011,R,2011-01-16,23,30,0,4,home win REG,Xcel Energy Center,w,1
682,683,20102011,R,2011-01-19,30,22,4,1,away win REG,Rexall Place,w,2
693,694,20102011,R,2011-01-20,30,20,6,0,away win REG,Scotiabank Saddledome,w,3
717,718,20102011,R,2011-01-23,30,28,3,4,home win REG,HP Pavilion at San Jose,l,-1
737,738,20102011,R,2011-01-26,30,16,4,2,away win REG,United Center,w,1
751,752,20102011,R,2011-02-02,26,30,0,1,home win SO,Xcel Energy Center,w,2
770,771,20102011,R,2011-02-04,30,21,4,3,away win REG,Pepsi Center,w,3
783,784,20102011,R,2011-02-06,30,27,0,1,home win REG,Jobing.com Arena,l,-1
807,808,20102011,R,2011-02-10,21,30,2,3,home win REG,Xcel Energy Center,w,1
825,826,20102011,R,2011-02-12,30,19,5,4,away win SO,Scottrade Center,w,2
829,830,20102011,R,2011-02-13,19,30,1,3,home win REG,Xcel Energy Center,w,3
849,850,20102011,R,2011-02-16,23,30,4,1,away win REG,Xcel Energy Center,l,-1
857,858,20102011,R,2011-02-17,30,16,1,3,home win REG,United Center,l,-2
871,872,20102011,R,2011-02-19,24,30,1,5,home win REG,Xcel Energy Center,w,1
878,879,20102011,R,2011-02-20,17,30,2,1,away win SO,Xcel Energy Center,l,-1
894,895,20102011,R,2011-02-23,22,30,1,4,home win REG,Xcel Energy Center,w,1
908,909,20102011,R,2011-02-25,30,26,2,4,home win REG,Staples Center,l,-1
916,917,20102011,R,2011-02-26,30,24,3,2,away win OT,Honda Center,w,1
939,940,20102011,R,2011-03-01,16,30,4,2,away win REG,Xcel Energy Center,l,-1
954,955,20102011,R,2011-03-03,30,2,1,4,home win REG,Nassau Coliseum,l,-2
960,961,20102011,R,2011-03-04,30,3,3,1,away win REG,Madison Square Garden,w,1
982,983,20102011,R,2011-03-06,7,30,3,2,away win OT,Xcel Energy Center,l,-1
997,998,20102011,R,2011-03-09,21,30,2,5,home win REG,Xcel Energy Center,w,1
1008,1009,20102011,R,2011-03-11,30,18,0,4,home win REG,Bridgestone Arena,l,-1
1020,1021,20102011,R,2011-03-12,30,25,0,4,home win REG,American Airlines Center,l,-2
1038,1039,20102011,R,2011-03-15,30,23,2,4,home win REG,Rogers Arena,l,-3
1061,1062,20102011,R,2011-03-18,30,28,2,3,home win REG,HP Pavilion at San Jose,l,-4
1068,1069,20102011,R,2011-03-19,29,30,5,4,away win OT,Xcel Energy Center,l,-5
1077,1078,20102011,R,2011-03-20,8,30,8,1,away win REG,Xcel Energy Center,l,-6
1096,1097,20102011,R,2011-03-23,10,30,3,0,away win REG,Xcel Energy Center,l,-7
1124,1125,20102011,R,2011-03-27,19,30,6,3,away win REG,Xcel Energy Center,l,-8
1141,1142,20102011,R,2011-03-30,30,19,3,2,away win SO,Scottrade Center,w,1
1157,1158,20102011,R,2011-04-01,22,30,2,4,home win REG,Xcel Energy Center,w,2
1161,1162,20102011,R,2011-04-02,14,30,3,1,away win REG,Xcel Energy Center,l,-1
1176,1177,20102011,R,2011-04-03,30,17,2,4,home win REG,Joe Louis Arena,l,-2
1204,1205,20102011,R,2011-04-08,30,23,0,5,home win REG,Rogers Arena,l,-3
1212,1213,20102011,R,2011-04-09,30,22,3,1,away win REG,Rexall Place,w,1
1221,1222,20102011,R,2011-04-10,25,30,3,5,home win REG,Xcel Energy Center,w,2
1,2,20102011,R,2010-10-07,4,5,3,2,away win REG,CONSOL Energy Center,l,-1
16,17,20102011,R,2010-10-09,8,5,3,2,away win REG,CONSOL Energy Center,l,-2
30,31,20102011,R,2010-10-11,5,1,3,1,away win REG,Prudential Center,w,1
36,37,20102011,R,2010-10-13,10,5,4,3,away win REG,CONSOL Energy Center,l,-1
44,45,20102011,R,2010-10-15,2,5,2,3,home win OT,CONSOL Energy Center,w,1
55,56,20102011,R,2010-10-16,5,4,5,1,away win REG,Wells Fargo Center,w,2
69,70,20102011,R,2010-10-18,9,5,2,5,home win REG,CONSOL Energy Center,w,3
88,89,20102011,R,2010-10-22,5,18,4,3,away win OT,Bridgestone Arena,w,4
111,112,20102011,R,2010-10-24,5,19,0,1,home win OT,Scottrade Center,l,-1
124,125,20102011,R,2010-10-27,5,14,3,5,home win REG,St. Pete Times Forum,l,-2
137,138,20102011,R,2010-10-29,4,5,3,2,away win REG,CONSOL Energy Center,l,-3
141,142,20102011,R,2010-10-30,5,12,3,0,away win REG,RBC Center,w,1
172,173,20102011,R,2010-11-04,5,25,2,5,home win REG,American Airlines Center,l,-1
186,187,20102011,R,2010-11-06,5,24,2,3,home win REG,Honda Center,l,-2
196,197,20102011,R,2010-11-07,5,27,4,3,away win SO,Jobing.com Arena,w,1
212,213,20102011,R,2010-11-11,6,5,7,4,away win REG,CONSOL Energy Center,l,-1
226,227,20102011,R,2010-11-13,14,5,1,5,home win REG,CONSOL Energy Center,w,1
233,234,20102011,R,2010-11-14,5,11,4,2,away win REG,Philips Arena,w,2
248,249,20102011,R,2010-11-16,3,5,3,2,away win OT,CONSOL Energy Center,l,-1
261,262,20102011,R,2010-11-18,23,5,1,3,home win REG,CONSOL Energy Center,w,1
279,280,20102011,R,2010-11-20,12,5,4,5,home win SO,CONSOL Energy Center,w,2
300,301,20102011,R,2010-11-23,5,13,3,2,away win REG,BankAtlantic Center,w,3
313,314,20102011,R,2010-11-25,5,7,1,0,away win REG,HSBC Arena,w,4
323,324,20102011,R,2010-11-26,9,5,1,2,home win REG,CONSOL Energy Center,w,5
331,332,20102011,R,2010-11-27,20,5,1,4,home win REG,CONSOL Energy Center,w,6
351,352,20102011,R,2010-11-30,5,3,3,1,away win REG,Madison Square Garden,w,7
371,372,20102011,R,2010-12-03,11,5,2,3,home win REG,CONSOL Energy Center,w,8
388,389,20102011,R,2010-12-05,5,29,7,2,away win REG,Nationwide Arena,w,9
395,396,20102011,R,2010-12-07,1,5,1,2,home win REG,CONSOL Energy Center,w,10
408,409,20102011,R,2010-12-09,10,5,2,5,home win REG,CONSOL Energy Center,w,11
431,432,20102011,R,2010-12-12,5,7,5,2,away win REG,HSBC Arena,w,12
447,448,20102011,R,2010-12-15,5,4,2,3,home win REG,Wells Fargo Center,l,-1
449,450,20102011,R,2010-12-16,3,5,4,1,away win REG,CONSOL Energy Center,l,-2
489,490,20102011,R,2010-12-21,27,5,1,6,home win REG,CONSOL Energy Center,w,1
502,503,20102011,R,2010-12-23,13,5,2,5,home win REG,CONSOL Energy Center,w,2
514,515,20102011,R,2010-12-24,5,15,3,2,away win SO,Verizon Center,w,3
528,529,20102011,R,2010-12-27,5,9,1,3,home win REG,Scotiabank Place,l,-1
540,541,20102011,R,2010-12-29,11,5,3,6,home win REG,CONSOL Energy Center,w,1
545,546,20102011,R,2010-12-30,5,2,1,2,home win SO,Nassau Coliseum,l,-1
571,572,20102011,R,2011-01-02,15,5,3,1,away win REG,Heinz Field,l,-2
593,594,20102011,R,2011-01-06,14,5,1,8,home win REG,CONSOL Energy Center,w,1
599,600,20102011,R,2011-01-07,5,8,1,2,home win SO,Centre Bell,l,-1
619,620,20102011,R,2011-01-09,30,5,4,0,away win REG,CONSOL Energy Center,l,-2
630,631,20102011,R,2011-01-11,6,5,4,2,away win REG,CONSOL Energy Center,l,-3
641,642,20102011,R,2011-01-13,5,8,5,2,away win REG,Centre Bell,w,1
653,654,20102011,R,2011-01-15,5,6,3,2,away win REG,TD Garden,w,2
689,690,20102011,R,2011-01-19,17,5,1,4,home win REG,CONSOL Energy Center,w,3
698,699,20102011,R,2011-01-21,5,1,0,2,home win REG,Prudential Center,l,-1
722,723,20102011,R,2011-01-23,12,5,2,3,home win REG,CONSOL Energy Center,w,1
734,735,20102011,R,2011-01-26,2,5,0,1,home win REG,CONSOL Energy Center,w,2
753,754,20102011,R,2011-02-02,5,3,4,3,away win SO,Madison Square Garden,w,3
767,768,20102011,R,2011-02-03,2,5,0,3,home win REG,CONSOL Energy Center,w,4
782,783,20102011,R,2011-02-05,7,5,2,3,home win REG,CONSOL Energy Center,w,5
785,786,20102011,R,2011-02-06,5,15,0,3,home win REG,Verizon Center,l,-1
801,802,20102011,R,2011-02-09,29,5,4,1,away win REG,CONSOL Energy Center,l,-2
815,816,20102011,R,2011-02-11,26,5,1,2,home win OT,CONSOL Energy Center,w,1
822,823,20102011,R,2011-02-12,5,2,3,9,home win REG,Nassau Coliseum,l,-1
834,835,20102011,R,2011-02-13,5,3,3,5,home win REG,Madison Square Garden,l,-2
859,860,20102011,R,2011-02-17,5,21,3,2,away win OT,Pepsi Center,w,1
876,877,20102011,R,2011-02-20,5,16,2,3,home win SO,United Center,l,-1
891,892,20102011,R,2011-02-22,15,5,1,0,away win REG,CONSOL Energy Center,l,-2
906,907,20102011,R,2011-02-24,28,5,3,2,away win OT,CONSOL Energy Center,l,-3
917,918,20102011,R,2011-02-26,5,12,1,4,home win REG,RBC Center,l,-4
934,935,20102011,R,2011-02-27,5,10,6,5,away win SO,Air Canada Centre,w,1
955,956,20102011,R,2011-03-03,5,10,2,3,home win OT,Air Canada Centre,l,-1
971,972,20102011,R,2011-03-05,5,1,1,2,home win OT,Prudential Center,l,-2
976,977,20102011,R,2011-03-06,5,6,3,2,away win OT,TD Garden,w,1
991,992,20102011,R,2011-03-09,7,5,1,3,home win REG,CONSOL Energy Center,w,2
1018,1019,20102011,R,2011-03-12,8,5,3,0,away win REG,CONSOL Energy Center,l,-1
1028,1029,20102011,R,2011-03-13,22,5,1,5,home win REG,CONSOL Energy Center,w,1
1046,1047,20102011,R,2011-03-15,5,9,5,1,away win REG,Scotiabank Place,w,2
1075,1076,20102011,R,2011-03-20,3,5,5,2,away win REG,CONSOL Energy Center,l,-1
1085,1086,20102011,R,2011-03-21,5,17,5,4,away win SO,Joe Louis Arena,w,1
1104,1105,20102011,R,2011-03-24,5,4,2,1,away win SO,Wells Fargo Center,w,2
1111,1112,20102011,R,2011-03-25,1,5,0,1,home win SO,CONSOL Energy Center,w,3
1129,1130,20102011,R,2011-03-27,13,5,1,2,home win SO,CONSOL Energy Center,w,4
1134,1135,20102011,R,2011-03-29,4,5,5,2,away win REG,CONSOL Energy Center,l,-1
1152,1153,20102011,R,2011-03-31,5,14,1,2,home win REG,St. Pete Times Forum,l,-2
1162,1163,20102011,R,2011-04-02,5,13,4,2,away win REG,BankAtlantic Center,w,1
1187,1188,20102011,R,2011-04-05,1,5,2,4,home win REG,CONSOL Energy Center,w,2
1205,1206,20102011,R,2011-04-08,5,2,4,3,away win SO,Nassau Coliseum,w,3
1227,1228,20102011,R,2011-04-10,5,11,5,2,away win REG,Philips Arena,w,4
2,3,20102011,R,2010-10-07,8,10,2,3,home win REG,Air Canada Centre,w,1
17,18,20102011,R,2010-10-09,9,10,1,5,home win REG,Air Canada Centre,w,2
36,37,20102011,R,2010-10-13,10,5,4,3,away win REG,CONSOL Energy Center,w,3
51,52,20102011,R,2010-10-15,10,3,4,3,away win OT,Madison Square Garden,w,4
71,72,20102011,R,2010-10-18,2,10,2,1,away win OT,Air Canada Centre,l,-1
84,85,20102011,R,2010-10-21,3,10,2,1,away win REG,Air Canada Centre,l,-2
100,101,20102011,R,2010-10-23,10,4,2,5,home win REG,Wells Fargo Center,l,-3
118,119,20102011,R,2010-10-26,13,10,1,3,home win REG,Air Canada Centre,w,1
126,127,20102011,R,2010-10-28,10,6,0,2,home win REG,TD Garden,l,-1
140,141,20102011,R,2010-10-30,3,10,2,0,away win REG,Air Canada Centre,l,-2
158,159,20102011,R,2010-11-02,9,10,3,2,away win REG,Air Canada Centre,l,-3
163,164,20102011,R,2010-11-03,10,15,4,5,home win SO,Verizon Center,l,-4
185,186,20102011,R,2010-11-06,7,10,3,2,away win SO,Air Canada Centre,l,-5
207,208,20102011,R,2010-11-10,10,14,0,4,home win REG,St. Pete Times Forum,l,-6
210,211,20102011,R,2010-11-11,10,13,1,4,home win REG,BankAtlantic Center,l,-7
241,242,20102011,R,2010-11-14,23,10,5,3,away win REG,Air Canada Centre,l,-8
254,255,20102011,R,2010-11-17,18,10,4,5,home win REG,Air Canada Centre,w,1
268,269,20102011,R,2010-11-19,1,10,1,3,home win REG,Air Canada Centre,w,2
289,290,20102011,R,2010-11-21,10,8,0,2,home win REG,Centre Bell,l,-1
303,304,20102011,R,2010-11-23,25,10,1,4,home win REG,Air Canada Centre,w,1
334,335,20102011,R,2010-11-27,10,7,1,3,home win REG,HSBC Arena,l,-1
337,338,20102011,R,2010-11-28,10,9,0,3,home win REG,Scotiabank Place,l,-2
352,353,20102011,R,2010-12-01,14,10,4,3,away win OT,Air Canada Centre,l,-3
370,371,20102011,R,2010-12-03,22,10,5,0,away win REG,Air Canada Centre,l,-4
380,381,20102011,R,2010-12-05,6,10,2,3,home win SO,Air Canada Centre,w,1
397,398,20102011,R,2010-12-07,10,15,5,4,away win SO,Verizon Center,w,2
408,409,20102011,R,2010-12-09,10,5,2,5,home win REG,CONSOL Energy Center,l,-1
416,417,20102011,R,2010-12-10,4,10,4,1,away win REG,Air Canada Centre,l,-2
424,425,20102011,R,2010-12-12,8,10,1,3,home win REG,Air Canada Centre,w,1
446,447,20102011,R,2010-12-15,10,22,4,1,away win REG,Rexall Place,w,2
464,465,20102011,R,2010-12-17,10,20,2,5,home win REG,Scotiabank Saddledome,l,-1
482,483,20102011,R,2010-12-19,10,23,1,4,home win REG,Rogers Arena,l,-2
491,492,20102011,R,2010-12-21,11,10,6,3,away win REG,Air Canada Centre,l,-3
524,525,20102011,R,2010-12-27,10,1,4,1,away win REG,Prudential Center,w,1
535,536,20102011,R,2010-12-29,12,10,4,3,away win REG,Air Canada Centre,l,-1
550,551,20102011,R,2010-12-31,29,10,3,2,away win REG,Air Canada Centre,l,-2
566,567,20102011,R,2011-01-02,10,9,5,1,away win REG,Scotiabank Place,w,1
583,584,20102011,R,2011-01-04,6,10,2,1,away win REG,Air Canada Centre,l,-1
598,599,20102011,R,2011-01-07,19,10,5,6,home win SO,Air Canada Centre,w,1
605,606,20102011,R,2011-01-08,10,11,9,3,away win REG,Philips Arena,w,2
629,630,20102011,R,2011-01-11,10,26,3,2,away win REG,Staples Center,w,3
636,637,20102011,R,2011-01-12,10,28,4,2,away win REG,HP Pavilion at San Jose,w,4
647,648,20102011,R,2011-01-14,10,27,1,5,home win REG,Jobing.com Arena,l,-1
672,673,20102011,R,2011-01-16,20,10,2,1,away win SO,Air Canada Centre,l,-2
694,695,20102011,R,2011-01-20,10,3,0,7,home win REG,Madison Square Garden,l,-3
706,707,20102011,R,2011-01-21,24,10,2,5,home win REG,Air Canada Centre,w,1
720,721,20102011,R,2011-01-23,15,10,4,1,away win REG,Air Canada Centre,l,-1
732,733,20102011,R,2011-01-25,10,12,4,6,home win REG,RBC Center,l,-2
739,740,20102011,R,2011-01-26,10,14,0,2,home win REG,St. Pete Times Forum,l,-3
761,762,20102011,R,2011-02-02,13,10,3,4,home win SO,Air Canada Centre,w,1
772,773,20102011,R,2011-02-04,12,10,0,3,home win REG,Air Canada Centre,w,2
791,792,20102011,R,2011-02-06,10,7,2,6,home win REG,HSBC Arena,l,-1
799,800,20102011,R,2011-02-08,11,10,4,5,home win REG,Air Canada Centre,w,1
800,801,20102011,R,2011-02-09,10,2,5,3,away win REG,Nassau Coliseum,w,2
814,815,20102011,R,2011-02-11,1,10,2,1,away win OT,Air Canada Centre,l,-1
837,838,20102011,R,2011-02-13,10,8,0,3,home win REG,Centre Bell,l,-2
848,849,20102011,R,2011-02-16,10,6,4,3,away win REG,TD Garden,w,1
860,861,20102011,R,2011-02-17,10,7,2,1,away win REG,HSBC Arena,w,2
881,882,20102011,R,2011-02-20,9,10,1,0,away win SO,Air Canada Centre,l,-1
898,899,20102011,R,2011-02-23,2,10,1,2,home win REG,Air Canada Centre,w,1
911,912,20102011,R,2011-02-25,10,8,5,4,away win REG,Centre Bell,w,2
928,929,20102011,R,2011-02-27,10,11,2,3,home win OT,Philips Arena,l,-1
934,935,20102011,R,2011-02-27,5,10,6,5,away win SO,Air Canada Centre,l,-2
955,956,20102011,R,2011-03-03,5,10,2,3,home win OT,Air Canada Centre,w,1
964,965,20102011,R,2011-03-04,10,4,3,2,away win REG,Wells Fargo Center,w,2
975,976,20102011,R,2011-03-06,16,10,5,3,away win REG,Air Canada Centre,l,-1
998,999,20102011,R,2011-03-09,10,2,3,4,home win OT,Nassau Coliseum,l,-2
1007,1008,20102011,R,2011-03-11,4,10,3,2,away win REG,Air Canada Centre,l,-3
1025,1026,20102011,R,2011-03-13,7,10,3,4,home win REG,Air Canada Centre,w,1
1037,1038,20102011,R,2011-03-14,14,10,6,2,away win REG,Air Canada Centre,l,-1
1049,1050,20102011,R,2011-03-16,10,12,3,1,away win REG,RBC Center,w,1
1057,1058,20102011,R,2011-03-17,10,13,0,4,home win REG,BankAtlantic Center,l,-1
1069,1070,20102011,R,2011-03-19,6,10,2,5,home win REG,Air Canada Centre,w,1
1096,1097,20102011,R,2011-03-23,10,30,3,0,away win REG,Xcel Energy Center,w,2
1114,1115,20102011,R,2011-03-25,10,21,4,3,away win REG,Pepsi Center,w,3
1116,1117,20102011,R,2011-03-26,10,17,2,4,home win REG,Joe Louis Arena,l,-1
1132,1133,20102011,R,2011-03-29,7,10,3,4,home win REG,Air Canada Centre,w,1
1150,1151,20102011,R,2011-03-31,10,6,4,3,away win SO,TD Garden,w,2
1168,1169,20102011,R,2011-04-02,10,9,4,2,away win REG,Scotiabank Place,w,3
1186,1187,20102011,R,2011-04-05,15,10,3,2,away win SO,Air Canada Centre,l,-1
1191,1192,20102011,R,2011-04-06,10,1,2,4,home win REG,Prudential Center,l,-2
1213,1214,20102011,R,2011-04-09,8,10,4,1,away win REG,Air Canada Centre,l,-3
3,4,20102011,R,2010-10-08,7,9,2,1,away win REG,Scotiabank Place,l,-1
17,18,20102011,R,2010-10-09,9,10,1,5,home win REG,Air Canada Centre,l,-2
25,26,20102011,R,2010-10-11,9,15,2,3,home win OT,Verizon Center,l,-3
39,40,20102011,R,2010-10-14,12,9,2,3,home win REG,Scotiabank Place,w,1
54,55,20102011,R,2010-10-16,9,8,3,4,home win REG,Centre Bell,l,-1
69,70,20102011,R,2010-10-18,9,5,2,5,home win REG,CONSOL Energy Center,l,-2
94,95,20102011,R,2010-10-22,9,7,4,2,away win REG,HSBC Arena,w,1
97,98,20102011,R,2010-10-23,8,9,3,0,away win REG,Scotiabank Place,l,-1
116,117,20102011,R,2010-10-26,27,9,2,5,home win REG,Scotiabank Place,w,1
127,128,20102011,R,2010-10-28,13,9,3,5,home win REG,Scotiabank Place,w,2
145,146,20102011,R,2010-10-30,6,9,4,0,away win REG,Scotiabank Place,l,-1
158,159,20102011,R,2010-11-02,9,10,3,2,away win REG,Air Canada Centre,w,1
173,174,20102011,R,2010-11-04,2,9,1,4,home win REG,Scotiabank Place,w,2
192,193,20102011,R,2010-11-06,9,8,3,2,away win REG,Centre Bell,w,3
203,204,20102011,R,2010-11-10,11,9,2,5,home win REG,Scotiabank Place,w,4
218,219,20102011,R,2010-11-12,23,9,6,2,away win REG,Scotiabank Place,l,-1
236,237,20102011,R,2010-11-14,9,6,2,0,away win REG,TD Garden,w,1
249,250,20102011,R,2010-11-16,9,4,1,5,home win REG,Wells Fargo Center,l,-1
260,261,20102011,R,2010-11-18,9,12,1,7,home win REG,RBC Center,l,-2
277,278,20102011,R,2010-11-20,9,19,2,5,home win REG,Scottrade Center,l,-3
301,302,20102011,R,2010-11-23,26,9,2,3,home win REG,Scotiabank Place,w,1
312,313,20102011,R,2010-11-25,25,9,2,1,away win REG,Scotiabank Place,l,-1
323,324,20102011,R,2010-11-26,9,5,1,2,home win REG,CONSOL Energy Center,l,-2
337,338,20102011,R,2010-11-28,10,9,0,3,home win REG,Scotiabank Place,w,1
348,349,20102011,R,2010-11-30,22,9,4,1,away win REG,Scotiabank Place,l,-1
367,368,20102011,R,2010-12-03,28,9,4,0,away win REG,Scotiabank Place,l,-2
383,384,20102011,R,2010-12-05,9,3,3,1,away win REG,Madison Square Garden,w,1
386,387,20102011,R,2010-12-05,7,9,1,0,away win SO,Scotiabank Place,l,-1
404,405,20102011,R,2010-12-08,9,8,1,4,home win REG,Centre Bell,l,-2
410,411,20102011,R,2010-12-10,3,9,5,3,away win REG,Scotiabank Place,l,-3
421,422,20102011,R,2010-12-11,1,9,2,3,home win REG,Scotiabank Place,w,1
442,443,20102011,R,2010-12-14,11,9,4,3,away win OT,Scotiabank Place,l,-1
467,468,20102011,R,2010-12-17,9,30,3,1,away win REG,Xcel Energy Center,w,1
470,471,20102011,R,2010-12-18,9,21,5,6,home win OT,Pepsi Center,l,-1
485,486,20102011,R,2010-12-20,15,9,3,2,away win REG,Scotiabank Place,l,-2
507,508,20102011,R,2010-12-24,9,18,2,1,away win REG,Bridgestone Arena,w,1
528,529,20102011,R,2010-12-27,5,9,1,3,home win REG,Scotiabank Place,w,2
547,548,20102011,R,2010-12-30,12,9,4,0,away win REG,Scotiabank Place,l,-1
561,562,20102011,R,2011-01-01,9,29,3,4,home win OT,Nationwide Arena,l,-2
566,567,20102011,R,2011-01-02,10,9,5,1,away win REG,Scotiabank Place,l,-3
609,610,20102011,R,2011-01-08,9,16,2,3,home win SO,United Center,l,-4
614,615,20102011,R,2011-01-09,14,9,2,1,away win REG,Scotiabank Place,l,-5
632,633,20102011,R,2011-01-12,9,6,0,6,home win REG,TD Garden,l,-6
651,652,20102011,R,2011-01-14,9,2,6,4,away win REG,Nassau Coliseum,w,1
656,657,20102011,R,2011-01-15,20,9,3,2,away win REG,Scotiabank Place,l,-1
661,662,20102011,R,2011-01-16,9,15,1,3,home win REG,Verizon Center,l,-2
686,687,20102011,R,2011-01-19,24,9,2,1,away win SO,Scotiabank Place,l,-3
701,702,20102011,R,2011-01-21,9,4,2,6,home win REG,Wells Fargo Center,l,-4
711,712,20102011,R,2011-01-22,8,9,7,1,away win REG,Scotiabank Place,l,-5
733,734,20102011,R,2011-01-26,7,9,3,2,away win OT,Scotiabank Place,l,-6
752,753,20102011,R,2011-02-02,9,1,1,2,home win REG,Prudential Center,l,-7
765,766,20102011,R,2011-02-03,17,9,7,5,away win REG,Scotiabank Place,l,-8
784,785,20102011,R,2011-02-06,9,2,3,5,home win REG,Nassau Coliseum,l,-9
795,796,20102011,R,2011-02-08,9,23,2,4,home win REG,Rogers Arena,l,-10
808,809,20102011,R,2011-02-10,9,20,2,5,home win REG,Scotiabank Saddledome,l,-11
821,822,20102011,R,2011-02-12,9,22,5,3,away win REG,Rexall Place,w,1
850,851,20102011,R,2011-02-16,2,9,4,3,away win SO,Scotiabank Place,l,-1
869,870,20102011,R,2011-02-19,6,9,4,2,away win REG,Scotiabank Place,l,-2
881,882,20102011,R,2011-02-20,9,10,1,0,away win SO,Air Canada Centre,w,1
904,905,20102011,R,2011-02-24,13,9,1,5,home win REG,Scotiabank Place,w,2
914,915,20102011,R,2011-02-26,9,7,2,4,home win REG,HSBC Arena,l,-1
933,934,20102011,R,2011-02-27,4,9,1,4,home win REG,Scotiabank Place,w,1
947,948,20102011,R,2011-03-02,6,9,1,0,away win REG,Scotiabank Place,l,-1
961,962,20102011,R,2011-03-04,9,11,3,1,away win REG,Philips Arena,w,1
972,973,20102011,R,2011-03-05,3,9,4,1,away win REG,Scotiabank Place,l,-1
992,993,20102011,R,2011-03-09,9,1,2,1,away win REG,Prudential Center,w,1
1010,1011,20102011,R,2011-03-11,9,13,2,1,away win REG,BankAtlantic Center,w,2
1017,1018,20102011,R,2011-03-12,9,14,2,1,away win REG,St. Pete Times Forum,w,3
1024,1025,20102011,R,2011-03-13,9,7,4,6,home win REG,HSBC Arena,l,-1
1046,1047,20102011,R,2011-03-15,5,9,5,1,away win REG,Scotiabank Place,l,-2
1053,1054,20102011,R,2011-03-17,1,9,1,3,home win REG,Scotiabank Place,w,1
